"method","p_order","q_order","count","freq"
"grid_search",2,6,205,20.5
"grid_search",2,7,75,7.5
"grid_search",1,5,73,7.3
"grid_search",3,6,71,7.1
"grid_search",3,7,66,6.6
"grid_search",1,6,64,6.4
"grid_search",1,7,57,5.7
"grid_search",4,6,50,5
"grid_search",5,7,49,4.9
"grid_search",6,6,41,4.1
"grid_search",6,7,41,4.1
"grid_search",4,7,37,3.7
"grid_search",5,6,36,3.6
"grid_search",7,7,22,2.2
"grid_search",6,5,18,1.8
"grid_search",2,5,17,1.7
"grid_search",3,5,14,1.4
"grid_search",5,5,14,1.4
"grid_search",7,6,13,1.3
"grid_search",4,5,12,1.2
"grid_search",7,5,12,1.2
"grid_search",6,4,4,0.4
"grid_search",5,4,3,0.3
"grid_search",1,4,1,0.1
"grid_search",2,4,1,0.1
"grid_search",3,4,1,0.1
"grid_search",4,3,1,0.1
"grid_search",6,3,1,0.1
"grid_search",7,3,1,0.1
"stepwise",2,1,280,28
"stepwise",2,6,102,10.2
"stepwise",1,3,66,6.6
"stepwise",3,2,64,6.4
"stepwise",1,5,61,6.1
"stepwise",3,1,58,5.8
"stepwise",2,3,54,5.4
"stepwise",2,7,34,3.4
"stepwise",1,2,24,2.4
"stepwise",1,6,23,2.3
"stepwise",3,7,22,2.2
"stepwise",1,1,19,1.9
"stepwise",1,7,19,1.9
"stepwise",2,2,19,1.9
"stepwise",4,2,19,1.9
"stepwise",3,6,16,1.6
"stepwise",3,3,13,1.3
"stepwise",4,3,13,1.3
"stepwise",2,5,11,1.1
"stepwise",3,4,10,1
"stepwise",4,1,10,1
"stepwise",1,4,9,0.9
"stepwise",4,5,8,0.8
"stepwise",3,5,7,0.7
"stepwise",4,6,7,0.7
"stepwise",2,4,5,0.5
"stepwise",5,3,5,0.5
"stepwise",4,7,4,0.4
"stepwise",5,7,4,0.4
"stepwise",5,5,3,0.3
"stepwise",0,1,1,0.1
"stepwise",4,4,1,0.1
"stepwise",5,1,1,0.1
"stepwise",5,2,1,0.1
"stepwise",5,4,1,0.1
"stepwise",5,6,1,0.1
"stepwise",6,1,1,0.1
"stepwise",6,4,1,0.1
"stepwise",6,5,1,0.1
"stepwise",6,7,1,0.1
"stepwise",7,6,1,0.1
